# Normal
RETTYPE_INF1;Shock;Choc;Schock;;Choque;;;;;;;;;;;x
RETTYPE_INF2;Defence;Défense;Verteidigung;;Defensa;;;;;;;;;;;x
RETTYPE_CAV1;Cavalry;Cavalerie;Kavallerie;;Caballería;;;;;;;;;;;x
RETTYPE_SKIR1;Skirmish;Escarmouche;Gefecht;;Escaramuza;;;;;;;;;;;x
RETTYPE_SKIR2;Light Skirmish;Escarmouche légère;Leichte Plänkler;;Escaramuza;;;;;;;;;x
# New Normal
RETTYPE_HEV_INF1;Small Heavy Infantry;;;;;;;;;x
RETTYPE_HEV_INF2;Heavy Infantry;;;;;;;;;x
RETTYPE_HEV_INF3;Large Heavy Infantry;;;;;;;;;x
RETTYPE_SPR_INF1;Small Spearmen;;;;;;;;;x
RETTYPE_SPR_INF2;Spearmen;;;;;;;;;x
RETTYPE_SPR_INF3;Large Spearmen;;;;;;;;;x
RETTYPE_LIGHT_CAV1;Small Light Cavalry;;;;;;;;;x
RETTYPE_LIGHT_CAV2;Light Cavalry;;;;;;;;;x
RETTYPE_LIGHT_CAV3;Large Light Cavalry;;;;;;;;;x
RETTYPE_HEAVY_CAV1;Small Heavy Cavalry;;;;;;;;;x
RETTYPE_HEAVY_CAV2;Heavy Cavalry;;;;;;;;;x
RETTYPE_HEAVY_CAV3;Large Heavy Cavalry;;;;;;;;;x
RETTYPE_ARCH1;Small Archers;;;;;;;;;x
RETTYPE_ARCH2;Archers;;;;;;;;;x
RETTYPE_REL_ZENITH;Kestrels;;;;;;;;;x
FEUDAL_PRESTIGE_RET_1;Super Heavy Noble Infantry;;;;;;;;;x
superheavy_infantry;Super Heavy Infantry;;;;;;;;;x
superheavy_infantry_offensive;Super Heavy Infantry Offensive;;;;;;;;;x
superheavy_infantry_defensive;Super Heavy Infantry Defensive;;;;;;;;;x
superheavy_infantry_morale;Super Heavy Infantry Morale;;;;;;;;;x
FEUDAL_ART_RET_1;Heavy Artillery;;;;;;;;;x
heavy_artillery;Heavy Artillery;;;;;;;;;x
heavy_artillery_offensive;Heavy Artillery Offensive;;;;;;;;;x
heavy_artillery_defensive;Heavy Artillery Defensive;;;;;;;;;x
heavy_artillery_morale;Heavy Artillery Morale;;;;;;;;;x
RETTYPE_ARCH3;Large Archers;;;;;;;;;x
RETTYPE_SKIRMISH1;Small Skirmishers;;;;;;;;;x
RETTYPE_SKIRMISH2;Skirmishers;;;;;;;;;x
RETTYPE_KGB_AGENTS;The Cleaners;;;;;;;;;x
RETTYPE_AIRSHIPS;Airships;;;;;;;;;x
airships;Airships;;;;;;;;;x
airships_offensive;Airships Offensive;;;;;;;;;x
airships_defensive;Airships Defensive;;;;;;;;;x
airships_morale;Airships Morale;;;;;;;;;x
RETTYPE_SECRET_SERVICE;Secret Service;;;;;;;;;x
c_karnoi;Karnoi;;;;;;;;;x
c_karnoi_adj;Karnoian;;;;;;;;;x
c_zalinje;Zalinje;;;;;;;;;x
c_zalinje_adj;Zalinji;;;;;;;;;x
c_bargaz;Bargaz;;;;;;;;;x
c_bargaz_adj;Bargazian;;;;;;;;;x
RETTYPE_DEBTCOLLECTORS;Debt Collectors;;;;;;;;;x
RETTYPE_SKIRMISH3;Large Skirmishers;;;;;;;;;x
king_follows_faith;King Follows Faith;;;;;;;;;x
emperor_follows_faith;Emperor Follows Faith;;;;;;;;;x
# Horde
HORDE_RETTYPE_CAV1;Light Rider;Cavalerie légère;Leichte Reiter;;Jinete ligero;;;;;;;;;x
HORDE_RETTYPE_CAV2;Marauder;Maraudeurs;Marodeur;;Merodeador/ora;;;;;;;;;x
HORDE_RETTYPE_CAV3;Skirmish Cavalry;Cavalerie d'escarmouche;Scharmützel-Kavallerie;;Caballería de hostigamiento;;;;;;;;;x
HORDE_RETTYPE_CAV4;Light Horse Archer;Archers à cheval légers;Leichte berittene Bogenschützen;;Arquero de caballería ligera;;;;;;;;;x
HORDE_RETTYPE_CAV5;Light Vanguard;Première ligne légère;Leichte Vorhut;;Vanguardia ligera;;;;;;;;;x
HORDE_RETTYPE_CAV6;Heavy Vanguard;Première ligne lourde;Schwere Vorhut;;Vanguardia pesada;;;;;;;;;x
HORDE_RETTYPE_CAV7;Horse Archer;Archers à cheval;Berittene Bogenschützen;;Arquero a caballo;;;;;;;;;x
HORDE_RETTYPE_EUROPE;Lancer;Lanciers;Lanzenreiter;;Lancero;;;;;;;;;x
HORDE_RETTYPE_INDIAN;Elephant Cavalry;Éléphants de cavalerie;Elefantenkavallerie;;Caballería de elefantes;;;;;;;;;x
HORDE_RETTYPE_DESERT;Camel Cavalry;Chameaux de cavalerie;Kamelkavallerie;;Caballería del camellos;;;;;;;;;x

## Religious Horde
HORDE_RETTYPE_PAGAN;Riders of the Open Sky;Chevaucheurs du Ciel dégagé;Reiter der Offenen Himmel;;Jinetes del Cielo abierto;;;;;x
HORDE_RETTYPE_MUSLIM;Desert Auxiliaries;Auxiliaires bolgars;Bolgarische Hilfstruppen;;Auxiliares búlgar;;;;;x
HORDE_RETTYPE_CHRISTIAN;Knights Auxiliaries;Auxiliaires kéraïtes;Karäische Hilfstruppen;;Auxiliares keraitas;;;;;x
HORDE_RETTYPE_ZOROASTRIAN;Parthian Auxiliaries;Auxiliaires parthes;Partherrische Hilfstruppen;;Auxiliares partos;;;;;x
HORDE_RETTYPE_JEWISH;Khazarian Auxiliaries;Auxiliaires khazars;Chasarische Hilfstruppen;;Auxiliares jázaros;;;;;x
HORDE_RETTYPE_EASTERN;Khitan Auxiliaries;Auxiliaires khitans;Kitanische Hilfstruppen;;Auxiliares kitan;;;;;x

# Tribal
TRIBAL_RET_1;Tribal Warrior;Guerrier tribal;Stammeskrieger;;Guerrero tribal;;;;;;;;;x
TRIBAL_RET_2;Trapper;Trappeur;Fallensteller;;Trampero;;;;;;;;;x
TRIBAL_RET_3;Hunting Party;Chasseurs;Jagdgemeinschaft;;Partida de caza;;;;;;;;;x
TRIBAL_RET_4;Veteran Warrior;Guerrier vétéran;Veteranen Krieger;;Guerrero veterano;;;;;;;;;x
TRIBAL_RET_5;Steppe Riders;Chevaucheurs des steppes;Steppenreiter;;Jinetes de las estepas;;;;;;;;;x
TRIBAL_PIETY_RET_1;Ardent Guardians;Gardiens fervents;Fromme Wächter;;Guardianes ardientes;;;;;;;;;x
TRIBAL_PIETY_RET_2;Sworn Defenders;Fidèles défenseurs;Vereidigte Verteidiger;;Defensores juramentados;;;;;;;;;x

# Cultural
RETTYPE_CUL_IRAN;Javidan Guard;;;;;;;;;x
RETTYPE_CUL_VIET;Viet Veteran;;;;;;;;;x
RETTYPE_CUL_HIGH_AMERICAN;Columbian Geeyes;;;;;;;;;x
RETTYPE_CUL_HELLFIGHTER;Hellfighters;;;;;;;;;x
RETTYPE_CUL_MAROON;Maroons;;;;;;;;;x
RETTYPE_CUL_REDTAILS;Tuskegee Red-tails;;;;;;;;;x
RETTYPE_CUL_MELUNGEON;Melung'n Infantry;;;;;;;;;x
RETTYPE_CUL_HUDSUNITE;Hudsunite Infantry;;;;;;;;;x
RETTYPE_CUL_CATSKILLER;Catskiller Archers;;;;;;;;;x
RETTYPE_CUL_FINGERLAKER;Fingerlaiker Skirmishers;;;;;;;;;x
RETTYPE_CUL_KEYSTONER;Keystoner Associators;;;;;;;;;x
RETTYPE_CUL_SOUTHERN;Southern Gallants;;;;;;;;;x
RETTYPE_CUL_CAROLINO;Carolino Pikemen;;;;;;;;;x
RETTYPE_CUL_CRABBER;Crabber Spearmen;;;;;;;;;x
RETTYPE_CUL_SOUTHRON;Southron Knights;;;;;;;;;x
RETTYPE_CUL_POLITAN;Politan City Guard;;;;;;;;;x
RETTYPE_CUL_APPALACHIAN;Appalachian Volunteers;;;;;;;;;x
RETTYPE_CUL_VANDALIAN;Vandalian Longhunters;;;;;;;;;x
RETTYPE_CUL_NASHVILLIAN;Nashviller Hoplites;;;;;;;;;x
RETTYPE_CUL_KAINTUCKER;Derby Cavalry;;;;;;;;;x
RETTYPE_CUL_NY;New Yorker Adventurers;;;;;;;;;x
RETTYPE_CUL_DEL;Continental Guard;;;;;;;;;x
RETTYPE_CUL_UPPER_QUEBECOIS;Upper Quebecois Luge;;;;;;;;;x
RETTYPE_CUL_LOWER_QUEBECOIS;Lower Quebecois Luge;;;;;;;;;x
RETTYPE_CUL_WICKER;Wicker Swordsmen;;;;;;;;;x
RETTYPE_CUL_VERMONT;Green Mountaineers;;;;;;;;;x
RETTYPE_CUL_ALBMONT;Albmoner Skirmishers;;;;;;;;;x
RETTYPE_CUL_MAINE;Mainer Guardsmen;;;;;;;;;x
RETTYPE_CUL_CONGO1;Subsaharan Warrior;;;;;;;;;x
RETTYPE_CUL_CONGO2;Imperial Warrior;;;;;;;;;x
RETTYPE_CUL_HUNGARY;Black Army;;;;;;;;;x
RETTYPE_CUL_TURKMEN;Ahalteke Riders;;;;;;;;;x
RETTYPE_CUL_AVAR;Maarulal Warriors;;;;;;;;;x
RETTYPE_CUL_AZER;Qizilbash;;;;;;;;;x
RETTYPE_CUL_COSSACK;Preriyskiy Cossacks;;;;;;;;;x
RETTYPE_CUL_ENG;Longbow;Archer long;Langbogen;;Arco Largo;;;;;;;;;x
RETTYPE_CUL_SCOT;Schiltron;Schiltron;Schiltron;;Sheltron;;;;;;;;;x
RETTYPE_CUL_SCOTTISH;Scoshan Defenders;;;;;;;;;;;;;x
RETTYPE_CUL_NEWFIE;Newfie Archers;;;;;;;;;;;;;x
RETTYPE_CUL_BALT;Baltic Warrior;Guerrier balte;Baltische Krieger;;Guerrero báltico;;;;;;;;;x
RETTYPE_CUL_POL;Winged Hussar;Hussard;Husaren;;Húsar;;;;;;;;;x
RETTYPE_CUL_ARAB;Camel Warrior;Chamelier de combat;Kamelreiterei;;Guerrero a camello;;;;;;;;;x
RETTYPE_CUL_BYZ1;Cataphract;Cataphractaire;Kataphrakten;;Catafracto;;;;;;;;;x
RETTYPE_CUL_BYZ2;Hoplite;;;;;;;;;;;;;x
RETTYPE_CUL_BYZ3;Macedonian Phalanx;;;;;;;;;;;;;x
RETTYPE_CUL_IRISH;Gallowglass;Galloglaigh;Gallowglass;;Gallowglass;;;;;;;;;x
RETTYPE_CUL_IRISH2;Irish Infantry;;;;;;;;;;;;;x
RETTYPE_CUL_ETHIO;[Root.Culture.GetName] Skirmishers;
RETTYPE_CUL_NIGERIAN;Nigerian Brigade of Guards;;;;;;;;;;;;;x
RETTYPE_CUL_IGBO;Igbo Skirmishers;;;;;;;;;;;;;x
RETTYPE_CUL_HAUSA;Dawaki Cavalry;;;;;;;;;;;;;x
RETTYPE_HOCKEY;[Root.Culture.GetName] Hockey Axemen;;;;;;;;;;;;;x
RETTYPE_CUL_ALBERTAN;Albertan Infantry;;;;;;;;;;;;;x
RETTYPE_CUL_FLATLANDER;Flatlander Cavalrymen;;;;;;;;;;;;;x
RETTYPE_CUL_YUPI;Jaakeri;;;;;;;;;;;;;x
RETTYPE_CUL_SHOMRIM;Shomrim;;;;;;;;;;;;;x
RETTYPE_CUL_MOUNTAINER;Mountainer Skirmishers;;;;;;;;;;;;;x
RETTYPE_CUL_BADGER;Badgerlander Militiamen;;;;;;;;;;;;;x
RETTYPE_CUL_THUNDERLANDER;Thunderlander Raiders;;;;;;;;;;;;;x
RETTYPE_CUL_PLAINSLANDER;Plainslander Cavalry;;;;;;;;;;;;;x
RETTYPE_CUL_OZARKS;Ozarkian Lancers;;;;;;;;;;;;;x
RETTYPE_CUL_ARKENSAW;Arkensawyer Militia;;;;;;;;;;;;;x
RETTYPE_CUL_GOLDENGATER;Goldengater Mariners;;;;;;;;;;;;;x
RETTYPE_CUL_VALLEYAN;Valleyan Ranchers;;;;;;;;;;;;;x
