MAJOR_GENERAL;Major General;;;;;;;;;;;;;x
;;;;;;;;;;;;;;
LIBERATOR;Liberator;;;;;;;;;;;;;x
HEAD_LIVING_BAPHOMET;Living Baphomet;;;;;;;;;;;;;x
GIANT_KING;King of the Giants;;;;;;;;;;;;;x
GIANT_QUEEN;Queen of the Giants;;;;;;;;;;;;;x
SECOND_IN_COMMAND;Second-in-Command;;;;;;;;;;;;;x
MESSIAH;Messiah;;;;;;;;;;;;;x
ADMINISTRATOR;Administrator;;;;;;;;;;;;;x
HOST;Host;;;;;;;;;;;;;x
DEPARTMENT_OF;Department of;;;;;;;;;;;;;x
MARJA_AL_TAQLID;Marja al-Taqlid;;;;;;;;;;;;;x
COMMANDANTE;Commandante;;;;;;;;;;;;;x
MAMA;Mama;;;;;;;;;;;;;x 
TATA;Tata;;;;;;;;;;;;;x
