arboreal_gaian;Druid Lodge;;;;;;;;;;x,,,,,,,
arboreal_gaian_desc;This character is member of a lodge of druids, dedicated to preserving and harnessing the Earth Mother's energy deep in America's woods. As the forests and trees are where the Mother's presence is strongest, it is also where the people feel the safest. As such, they must be protected from those who wish to corrupt or destroy them.;;;;;;;;;;x,,,
arboreal_architect;Warden Lodge;;;;;;;;;;x,,,,,,,
arboreal_architect_desc;This character is member of a lodge of wardens, who oversee many of the coast's watchtowers and lighthouses. They are the first line of defense should the deep sea return to shore.;;;;;;;;;;x,,,,
arboreal_murican;Hero Lodge;;;;;;;;;;x,,,,,,,
arboreal_murican_desc;This character is member of a lodge dedicated to the faith's heroes, such as Paul Bunyan and Captain Stormalong. Many heroic figures are venerated through song and legend, for their bravery on the seas or protection of the woods.;;;;;;;;;;x,,,,,
arboreal_old_ones;Sacrificial Lodge;;;;;;;;;;x,,,,,,,
arboreal_old_ones_desc;This character is member of a lodge which seeks to placate the unknown sea through sacrificial offerings. By giving up food, livestock, and - most controversially - human lives in the name of the deep sea, these lodges hope to prevent another disaster through extreme means.;;;;;;;;;;x,,,,,,
arboreal_reformed_gaian;Druid Lodge;;;;;;;;;;x,,,,,,,
arboreal_reformed_gaian_desc;This character is member of a lodge of druids, dedicated to preserving and harnessing the Earth Mother's energy deep in America's woods. As the forests and trees are where the Mother's presence is strongest, it is also where the people feel the safest. As such, they must be protected from those who wish to corrupt or destroy them.;;;;;;;;;;x,,,
arboreal_reformed_architect;Warden Lodge;;;;;;;;;;x,,,,,,,
arboreal_reformed_architect_desc;This character is member of a lodge of wardens, who oversee many of the coast's watchtowers and lighthouses. They are the first line of defense should the deep sea return to shore.;;;;;;;;;;x,,,,
arboreal_reformed_murican;Hero Lodge;;;;;;;;;;x,,,,,,,
arboreal_reformed_murican_desc;This character is member of a lodge dedicated to the faith's heroes, such as Paul Bunyan and Captain Stormalong. Many heroic figures are venerated through song and legend, for their bravery on the seas or protection of the woods.;;;;;;;;;;x,,,,,
arboreal_reformed_old_ones;Sacrificial Lodge;;;;;;;;;;x,,,,,,,
