#CODE;English;French;German;;Spanish;;;;;;;;;x

priest_vassal_angry;Temple vassals opinion will decrease by §R-25§! for §Y10§! years.\n;;;;;;;;;;;;;
iqta_vassal_angry;Iqta vassals opinion will decrease by §R-25§! for §Y10§! years.\n;;;;;;;;;;;;;
republic_vassal_angry;City vassals opinion will decrease by §R-25§! for §Y10§! years.\n;;;;;;;;;;;;;
feudal_vassal_angry;Feudal vassals opinion will decrease by §R-25§! for §Y10§! years.\n;;;;;;;;;;;;;
;;;;;;;;;;;;;;
convert_settlement_castle;Convert Holding to Castle;;;;;;;;;;;;;
convert_settlement_family_palace;Convert Holding to Palace;;;;;;;;;;;;;
;;;;;;;;;;;;;;
convert_settlement_castle_desc;I can convert this settlement to a castle, but some vassals won't like it.;;;;;;;;;;;;;
convert_settlement_family_palace_desc;I can convert this settlement to a Palace, but some vassals won't like it.;;;;;;;;;;;;;
buy_exemption_from_bureucracy;Buy an Exemption from the Bureaucracy;;;;;;;;;x
buy_exemption_from_bureucracy_desc;In our state it is currently legal to buy an exemption from the government bureaucracy and for my dynasty to rule our fief as hereditary lords in perpetuity.;;;;;;;;;x
buy_exemption_from_bureucracy_federal;Buy an Exemption from the Bureaucracy;;;;;;;;;x
buy_exemption_from_bureucracy_federal_desc;In our state it is currently legal to buy an exemption from the government bureaucracy and for my dynasty to rule our fief as hereditary lords in perpetuity.;;;;;;;;;x
viceroyal_government_FEATURES;§Y*§! Decayed Viceroys of this government can convert their dynasty to feudalism if their liege is not level 4 or 5 in Demense Centralisation;;;;;;;;;;;;;x
viceroy_barony_of;Decayed Viceroyal Barony of;;;;;;;;;x
viceroy_county_of;Decayed Viceroyal County of;;;;;;;;;x
viceroy_duchy_of;Decayed Minor Viceroyalty of;;;;;;;;;x
viceroy_kingdom_of;Decayed Viceroyalty of;;;;;;;;;x
viceroy_empire_of;Decayed Grand Viceroyalty of;;;;;;;;;x
viceroy_baron;Decayed Baron Viceroy;;;;;;;;;x
viceroy_count;Decayed Count Viceroy;;;;;;;;;x
viceroy_duke;Decayed Minor Viceroy;;;;;;;;;x
viceroy_king;Decayed Viceroy;;;;;;;;;x
viceroy_emperor;Decayed Grand Viceroy;;;;;;;;;x

viceroy_duke_bhutanese;Decayed Protector;;;;;;;;;x
viceroy_king_bhutanese;Decayed Governor;;;;;;;;;x
viceroy_duke_female_bhutanese;Decayed Protector;;;;;;;;;x
viceroy_king_female_bhutanese;Decayed Governoress;;;;;;;;;x
viceroy_duchy_of_bhutanese;Decayed Canton of;;;;;;;;;x
viceroy_kingdom_of_bhutanese;Decayed Governate of;;;;;;;;;x
;;;;;;;;;;;;;;
viceroy_duke_low_bhutanese;Decayed Protector;;;;;;;;;x
viceroy_king_low_bhutanese;Decayed Governor;;;;;;;;;x
viceroy_duke_female_low_bhutanese;Decayed Protector;;;;;;;;;x
viceroy_king_female_low_bhutanese;Decayed Governoress;;;;;;;;;x
viceroy_duchy_of_low_bhutanese;Decayed Canton of;;;;;;;;;x
viceroy_kingdom_of_low_bhutanese;Decayed Governate of;;;;;;;;;x
;;;;;;;;;;;;;;
viceroy_duke_romanian;Decayed Vicerege;;;;;;;;;x
viceroy_king_romanian;Decayed Guvernator;;;;;;;;;x
viceroy_duke_female_romanian;Decayed Vicerege;;;;;;;;;x
viceroy_king_female_romanian;Decayed Guvernator;;;;;;;;;x
viceroy_duchy_of_romanian;Decayed Viceregat of;;;;;;;;;x
viceroy_kingdom_of_romanian;Decayed Guvernoratul of;;;;;;;;;x
;;;;;;;;;;;;;;
viceroy_duke_moldavian;Decayed Vicerege;;;;;;;;;x
viceroy_king_moldavian;Decayed Guvernator;;;;;;;;;x
viceroy_duke_female_moldavian;Decayed Vicerege;;;;;;;;;x
viceroy_king_female_moldavian;Decayed Guvernator;;;;;;;;;x
viceroy_duchy_of_moldavian;Decayed Viceregat of;;;;;;;;;x
viceroy_kingdom_of_moldavian;Decayed Guvernoratul of;;;;;;;;;x
;;;;;;;;;;;;;;
viceroy_duke_adessite;Decayed Vicerege;;;;;;;;;x
viceroy_king_adessite;Decayed Guvernator;;;;;;;;;x
viceroy_duke_female_adessite;Decayed Vicerege;;;;;;;;;x
viceroy_king_female_adessite;Decayed Guvernator;;;;;;;;;x
viceroy_duchy_of_adessite;Decayed Viceregat of;;;;;;;;;x
viceroy_kingdom_of_adessite;Decayed Guvernoratul of;;;;;;;;;x
;;;;;;;;;;;;;;
viceroy_duke_sazzac;Decayed Vicerege;;;;;;;;;x
viceroy_king_sazzac;Decayed Guvernator;;;;;;;;;x
viceroy_duke_female_sazzac;Decayed Vicerege;;;;;;;;;x
viceroy_king_female_sazzac;Decayed Guvernator;;;;;;;;;x
viceroy_duchy_of_sazzac;Decayed Viceregat of;;;;;;;;;x
viceroy_kingdom_of_sazzac;Decayed Guvernoratul of;;;;;;;;;x
;;;;;;;;;;;;;;
viceroy_duke_ukrainer;Decayed Namesnyk;;;;;;;;;x
viceroy_king_ukrainer;Decayed Hubernator;;;;;;;;;x
viceroy_duke_female_ukrainer;Decayed Namesnyk;;;;;;;;;x
viceroy_king_female_ukrainer;Decayed Hubernator;;;;;;;;;x
viceroy_duchy_of_ukrainer;Decayed Vitse of;;;;;;;;;x
viceroy_kingdom_of_ukrainer;Decayed Hubernatorstvo of;;;;;;;;;x
