From;To;Type;Through;-1;-1;-1;-1;Comment
3733;1256;sea;1451;-1;-1;-1;-1;Guysborough-Pitupok
3733;1257;sea;1451;-1;-1;-1;-1;Guysborough-Unamakika
1256;1257;sea;1416;-1;-1;-1;-1;Pitupok-Unamakika
1256;3738;sea;1416;-1;-1;-1;-1;Pitupok-Cape Breton
3734;3738;sea;1416;-1;-1;-1;-1;Victoria-Cape Breton
1652;58;sea;1477;-1;-1;-1;-1;Rhode Island-Provindence
1652;1655;sea;1477;-1;-1;-1;-1;Rhode Island-Taunton
3700;193;sea;1453;-1;-1;-1;-1;Acadia-Ellsworth
3700;3694;sea;1453;-1;-1;-1;-1;Acadia-Belfast
3700;3693;sea;1453;-1;-1;-1;-1;Acadia-Knox
3;3607;sea;3610;-1;-1;-1;-1;Manhattan-The Bronx
3;3608;sea;3610;-1;-1;-1;-1;Manhattan-Queens
3;2;sea;3610;-1;-1;-1;-1;Manhattan-Brooklyn
3608;3607;sea;3610;-1;-1;-1;-1;Queens-The Bronx
3;3613;major_river;1486;-1;-1;-1;-1;Manhattan-Bergen
2;3611;major_river;1486;-1;-1;-1;-1;Brooklyn-Staten Island
4;3611;sea;1489;-1;-1;-1;-1;Palisades-Staten Island
3587;3588;sea;1485;-1;-1;-1;-1;Corolla Banks-Hatteras Islands
131;3588;sea;1485;-1;-1;-1;-1;Carteret-Hatteras Islands
1010;289;major_river;1515;-1;-1;-1;-1;Sault Ste Marie.-Bawating
1274;171;major_river;1493;-1;-1;-1;-1;Lambton-Port Huron
118;1273;major_river;1493;-1;-1;-1;-1;Detroit-Essex
1268;17;major_river;1473;-1;-1;-1;-1;Welland-Buffalo
1268;3651;major_river;1473;-1;-1;-1;-1;Welland-Niagara
17;3651;major_river;1488;-1;-1;-1;-1;Buffalo-Niagara
3650;3651;major_river;1488;-1;-1;-1;-1;Batavia-Niagara
3650;16;major_river;1488;-1;-1;-1;-1;Batavia-Rochester
30;16;major_river;1488;-1;-1;-1;-1;Canandaigua-Rochester
30;3649;major_river;1488;-1;-1;-1;-1;Canandaigua-Wayne
796;35;major_river;1474;-1;-1;-1;-1;Leeds-Watertown
3668;1296;major_river;1474;-1;-1;-1;-1;Greene-Thousand Islands
36;1298;major_river;1474;-1;-1;-1;-1;Raquette-The United Counties
3677;1299;major_river;1567;-1;-1;-1;-1;Haut-Saint-Laurent-Veudreuil-Soulanges
1217;1299;major_river;1567;-1;-1;-1;-1;Montreal-Veudreuil-Soulanges
1217;800;major_river;1567;-1;-1;-1;-1;Montreal-Laval
1217;801;major_river;1567;-1;-1;-1;-1;Montreal-Beauharnois
1217;1212;major_river;1567;-1;-1;-1;-1;Montreal-Longueuil
1217;1222;major_river;1567;-1;-1;-1;-1;Montreal-Terrebonne
1222;800;major_river;1567;-1;-1;-1;-1;Terrebonne-Laval
813;800;major_river;1567;-1;-1;-1;-1;Mirabel-Laval
809;806;major_river;1475;-1;-1;-1;-1;Francheville-Becancour
1199;1200;major_river;1475;-1;-1;-1;-1;Quebec-Chaudiere
3612;5;major_river;1486;-1;-1;-1;-1;Westchester-Newburgh
6;5;major_river;1486;-1;-1;-1;-1;Dutchess-Newburgh
6;3666;major_river;1486;-1;-1;-1;-1;Dutchess-Kingston
8;3666;major_river;1486;-1;-1;-1;-1;Hudson-Kingston
7;3664;major_river;1560;-1;-1;-1;-1;Woodstock-Columbia
10;3664;major_river;1560;-1;-1;-1;-1;Albany-Columbia
10;9;major_river;1560;-1;-1;-1;-1;Albany-Troy
12;9;major_river;1560;-1;-1;-1;-1;Saratoga-Troy
10;12;major_river;1487;-1;-1;-1;-1;Albany-Saratoga
10;13;major_river;1487;-1;-1;-1;-1;Albany-Johnstown
3653;13;major_river;1487;-1;-1;-1;-1;Mohawk-Johnstown
92;703;sea;1448;-1;-1;-1;-1;Wheeling-Stark
92;704;sea;1448;-1;-1;-1;-1;Wheeling-Steubenville
705;728;sea;1448;-1;-1;-1;-1;Belmont-Moundsville
