#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;;;;;;;x
VASSAL_RAISE_OPINION_DESC;For every §Y$DAYS$§! days that a vassal conscript force is raised during an offensive non-Crusade war, the vassal will get a §R-1§! Opinion of you;Lorsque les troupes d'un vassal sont levées durant une guerre offensive qui n'est pas une croisade, le vassal verra son opinion à votre égard changer de §R-1§! tous les §Y$DAYS$§! jours;Für alle §Y$DAYS$§! Tage, an dem ein Vasallen-Aufgebot während eines offensiven, nicht-Kreuzzugsbedingten Krieges ausgehoben ist, bekommt der Vasall eine Meinung von §R-1§! zu Euch;;Por cada §Y$DAYS$§! días que la leva de un vasallo es reclutada durante una ofensiva que no sea una cruzada, el vasallo obtendrá una opinión §R-1§! de tí.;;;;;;;;;x
LEVY_PERC_DESC3;$THEM$ reserves §Y$PERC$%§! of each troop type as personal conscript force;$THEM$ se réserve §Y$PERC$%§! de chaque type de troupe comme contribution personnelle;$THEM$ behält §Y$PERC$%§! jedes Truppentyps als persönliches Aufgebot zurück;;$THEM$ reserva §Y$PERC$%§! de cada tipo de tropa como recluta personal.;;;;;;;;;x
TOPLIEGE_TROOPS_TOTAL;Total Conscripts of Top liege: §Y$TROOPS$§!;Levée totale du souverain : §Y$TROOPS$§!;Gesamtes Aufgebot des obersten Lehnsherren: §Y$TROOPS$§!;;Reclutas totales del señor principal: §Y$TROOPS$§!;;;;;;;;;x
TOPLIEGE_TROOPS_CURRENT;Current Conscripts of Top liege: §Y$TROOPS$§!;Levée actuelle du souverain : §Y$TROOPS$§!;Derzeitiges Aufgebot des obersten Lehnsherren: §Y$TROOPS$§!;;Reclutas actuales del señor principal: §Y$TROOPS$§!;;;;;;;;;x
OWN_TROOPS_TOTAL;Total Conscripts of $CHAR$: §Y$TROOPS$§!;Contribution totale de $CHAR$ : §Y$TROOPS$§!;Gesamtes Aufgebot von $CHAR$: §Y$TROOPS$§!;;Reclutas totales de $CHAR$: §Y$TROOPS$§!;;;;;;;;;x
OWN_TROOPS_CURRENT;Current Conscripts of $CHAR$: §Y$TROOPS$§!;Contribution actuelle de $CHAR$ : §Y$TROOPS$§!;Derzeitiges Aufgebot von $CHAR$: §Y$TROOPS$§!;;Reclutas actuales de $CHAR$: §Y$TROOPS$§!;;;;;;;;;x
LEVY_MULTIPLIER;Conscript Multiplier: $VALUE$;Bonus de levée : $VALUE$;Aufgebot-Multiplikator: $VALUE$;;Multiplicador de reclutas: $VALUE$;;;;;;;;;x
TOTAL_LEVY;Total Conscript: §Y$VALUE$§!;Levée totale : §Y$VALUE$§!;Lehnstruppen: §Y$VALUE$§!;;Reclutas totales: §Y$VALUE$§!;;;;;;;;;x
SAFE_RAISE;§GHold §YControl§G when you click to avoid raising conscripts where there are hostile armies§!;§GMaintenir §YCtrl§G en cliquant pour ne pas mobiliser de troupes dans les provinces où des ennemis sont présents§!;§GHalte §YStrg§G gedrückt, wenn du klickst, um nicht in Provinzen auszuheben, in denen sich Feinde befinden.§!;;Mantén pulsado §YControl§! mientras haces clic para no crecer en provincias con enemigos;;;;;;;;;x
CRUSADE_DESC_IRO;A $CRUSADE$ has been declared to reclaim all parts of the §Y$TITLE$§! held by §Y$ENEMY$§!.;Sa Sainteté le §Y$POPE$§! a lancé une $CRUSADE$ pour reconquérir toutes les terres du §Y$TITLE$§! détenues par §Y$ENEMY$§!.;Seine Heiligkeit, §Y$POPE$§! hat einen $CRUSADE$ ausgerufen, um alle Besitztümer des Titels §Y"$TITLE$"§!, die §Y$ENEMY$§! innehat, zurückzufordern.;;Su santidad, §Y$POPE$§! ha declarado una $CRUSADE$ para reclamar todas las partes del §Y$TITLE$§! en poder de §Y$ENEMY$§!.;;;;;;;;;x
CRUSADE_DESC_NOT_STARTED;A $CRUSADE$ has been declared a to reclaim all parts of the §Y$TITLE$§! held by §Y$ENEMY$§!.;Sa Sainteté, §Y$POPE$§! a déclaré une $CRUSADE$ pour reconquérir les terres du §Y$TITLE$§! détenues par §Y$ENEMY$§!;Seine Heiligkeit, §Y$POPE$§!, hat einen $CRUSADE$ deklariert, um alle Teile von §Y$TITLE$§!, die von §Y$ENEMY$§! gehalten werden, zurückzufordern;;Su Santidad, §Y$POPE$§! ha proclamado una $CRUSADE$ para reclamar todas las partes de §Y$TITLE$§! en posesión de §Y$ENEMY$§!;;;;;;;;;x
new_crusade_win_TT;The Crusaders will take all the land in the targeted title held by §Y[From.Religion.GetName]§! rulers;Les croisés prendront toutes les terres du titre cible détenu par [From.Get_le_TitledNameJ];Die Kreuzritter nehmen alles Land ein, das von §Y[From.GetTitledName]§! gehalten wird;;Los cruzados tomarán toda la tierra del título objetivo que posee §Y[From.GetTitledName]§!;;;;;x
