#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
NOT_INTERESTED_IN_ANY_SOCIETY_TRIGGER;Is NOT currently showing interest in a society;;;;;;;;;;;;;x
INTERESTED_IN_ANY_SOCIETY_TRIGGER;Is currently showing interest in a society;;;;;;;;;;;;;x
reprimanded_merchants;Reprimanded Merchants;;;;;;;;;;;;;x
reprimanded_merchants_desc;Merchants from this county are upset after having lost privileges due to conducting dishonest business.;;;;;;;;;;;;;x
dealing_with_dishonest_traders;Dealing with Dishonest Traders;;;;;;;;;;;;;x
dealing_with_dishonest_traders_desc;This character is busy seeking out and exhorting traders to conform to a stricter protocol of action.;;;;;;;;;;;;;x
defending_vassal_rights;Defending Vassal Rights;;;;;;;;;;;;;x
defending_vassal_rights_desc;This character is known for speaking up when their vassals are directly being influenced by other people.;;;;;;;;;;;;;x
EVTDESC_JD_30002;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nIt has come to the attention of the heavenly [From.Offmap.Ruler.GetShortChineseEmperorName] that merchants from your lands have been acting with deceit and dishonesty while conducting trade with our merchants. We are certain that you will make sure that this behavior will cease immediately.;;;;;;;;;;;;;x
EVTOPTA_JD_30002;We need to restrict the privileges of the major trade guilds.;;;;;;;;;;;;;x
EVTOPTB_JD_30002;I'll have [target_marshal.GetFirstName] seek out and deal with the worst troublemakers.;;;;;;;;;;;;;x
EVTOPTC_JD_30002;How our merchants conduct their trade is no business for the crown.;;;;;;;;;;;;;x
EVTOPTB_JD_30003;I should make sure that I'm in good standing with [From.GetFirstName].;;;;;;;;;;;;;x
EVTDESC_JD_30004;Your vassal, [From.GetTitledFirstName], was less than impressed by your intrusion on merchant rights in the cities of [From.GetHerHis] lands. [From.GetSheHeCap] has now made a public statement on how this action was an unjustified use of power in an area of [From.GetHerHis] responsibility.;;;;;;;;;;;;;x
EVTOPTA_JD_30004;[From.GetHerHisCap] merchants had to be kept in line!;;;;;;;;;;;;;x
OFFMAP_CHANGE_CURRENCY_GAIN;Gain $VALUE|G$ $CURRENCY|Y$ with $OFFMAP|Y$;;;;;;;;;;;;;x
OFFMAP_CHANGE_CURRENCY_LOSE;Lose $VALUE|R$ $CURRENCY|Y$ with $OFFMAP|Y$;;;;;;;;;;;;;x
EVTDESC_JD_30011;Last night, [chinese_courtier.GetBestName] and I ended up having discussions until dawn, about [chinese_courtier.GetRootMatchingPersonalityStreak]. I must have made a good impression, as [chinese_courtier.GetSheHe] told me that [chinese_courtier.GetSheHe] will be sending a letter, praising the hospitality [chinese_courtier.GetSheHe] has received.;;;;;;;;;;;;;x
EVTOPTA_JD_30011;A pleasant evening.;;;;;;;;;;;;;x
