###ÄNSI###

adult_baptism_event;Become Baptized;;;;;;;;;;;;;x
adult_baptism_event_desc;Become baptized in the faith.;;;;;;;;;;;;;x
TXT_baptism_events;Become baptized in the faith.;;;;;;;;;;;;;x

EVTDESCbaptism_events.1;Every believer should be baptized, but only when they are able to make a conscious profession of faith. As is customary for those of the [This.Religion.GetName], you may now be baptized in the name of Jesus Christ. Do you accept Him as your Lord and Savior?;;;;;;;;;;;;;x
EVTOPTAbaptism_events.1;I accept Jesus as my Lord and Savior.;;;;;;;;;;;;;x
EVTOPTBbaptism_events.1;Yes.;;;;;;;;;;;;;x
EVTOPTCbaptism_events.1;No.;;;;;;;;;;;;;x

adult_baptized;Baptized as a Believer;;;;;;;;;;;;;x
adult_baptized_desc;This character has received a believer’s baptism.;;;;;;;;;;;;;x
adult_converted;Forcefully Converted;;;;;;;;;;;;;x
adult_converted_desc;This character has been forcefully converted to the faith.;;;;;;;;;;;;;x
recently_force_converted;Rough Conversion;;;;;;;;;;;;;x
recently_force_converted_desc;This person has been cut in order to keep God's covenant in accordance to Navegante rites.;;;;;;;;;;;;;x
force_baptism;Force Conversion;;;;;;;;;;;;;x
force_baptism_desc;Forcefully baptize this person into the faith.;;;;;;;;;;;;;x
opinion_converted_me;Forcefully Converted Me;;;;;;;;;;;;;x
opinion_converted_family;Forcefully Converted Kin;;;;;;;;;;;;;x
opinion_converted_close_kin;Forcefully Converted Close Kin;;;;;;;;;;;;;x

EVTDESC_navigant_3A;Due to your number of baptisms, you have been accepted into the Levita priesthood. It is named after Levi, the founder of the Tribe of Levi and the progenitor of the Levite priesthood.;;;;;;;;;;;;;x
EVTOPTA_navigant_3;I am now Levita.;;;;;;;;;;;;;x
EVTDESC_navigant_3B;Due to your large number of baptisms, you have been accepted into the Aaronita priesthood. It is named after Aaron, the brother of Moses and the mouthpiece for the Patriarchs.;;;;;;;;;;;;;x
EVTOPTB_navigant_3;I am now Aaronita.;;;;;;;;;;;;;x
EVTDESC_navigant_3C;Due to your immense number of baptisms, you have been accepted into the Melquisedequita priesthood. It is named after Melchizedek, priest of the most high God and a predecessor to Ichtys, high priest forever in the order of Melchizedek.;;;;;;;;;;;;;x
EVTOPTC_navigant_3;I am now Melquisedequita.;;;;;;;;;;;;;x
EVTDESC_navigant_3D;Due to your unprecedented number of baptisms, you have assumed a unique position within the Navegante religion. All priesthoods bow to you, and you clearly hold a special place in the heart of Ichtys.;;;;;;;;;;;;;x
EVTOPTD_navigant_3;I am close to Ichtys.;;;;;;;;;;;;;x
EVTDESC_navigant_4;Baptism is typically considered a sacred sacrament, with salvation only coming to those who freely accept it. Navegantes take a different view of things, that they can grant others baptism by force. You are now among that number.;;;;;;;;;;;;;x
EVTOPTA_navigant_4;It is...so cold.;;;;;;;;;;;;;x
levita;Levita;;;;;;;;;;;;;x
